10 ^        -1 x  3.9649991012951140,
10 ^        -1 x  4.4597588596775959,
10 ^        -1 x  4.9554383543459503,
10 ^        -1 x  5.4520872579438101,
10 ^        -1 x  5.9497558682065013,
10 ^        -1 x  6.4484951405586805,
10 ^        -1 x  6.9483567217196875,
10 ^        -1 x  7.4493929843761479,
10 ^        -1 x  7.9516570629844623,
10 ^        -1 x  8.4552028907691380,
10 ^        -1 x  8.9600852379864771,
10 ^        -1 x  9.4663597515269452,
10 ^        -1 x  9.9740829959336300,
10 ^         0 x  1.0483312495918577,
10 ^         0 x  1.0994106780463485,
10 ^         0 x  1.1506525428596272,
10 ^         0 x  1.2020629116940440,
10 ^         0 x  1.2536479669139943,
10 ^         0 x  1.3054140107268511,
10 ^         0 x  1.3573674705339053,
10 ^         0 x  1.4095149045035969,
10 ^         0 x  1.4618630073800908,
10 ^         0 x  1.5144186165410853,
10 ^         0 x  1.5671887183196342,
10 ^         0 x  1.6201804546057295,
10 ^         0 x  1.6734011297444296,
10 ^         0 x  1.7268582177484401,
10 ^         0 x  1.7805593698442604,
10 ^         0 x  1.8345124223723201,
10 ^         0 x  1.8887254050629346,
10 ^         0 x  1.9432065497114371,
10 ^         0 x  1.9979642992774958,
10 ^         0 x  2.0530073174354090,
10 ^         0 x  2.1083444986041093,
10 ^         0 x  2.1639849784877070,
10 ^         0 x  2.2199381451596822,
10 ^         0 x  2.2762136507263092,
10 ^         0 x  2.3328214236075879,
10 ^         0 x  2.3897716814768845,
10 ^         0 x  2.4470749449036704,
10 ^         0 x  2.5047420517472223,
10 ^         0 x  2.5627841723529369,
10 ^         0 x  2.6212128256070500,
10 ^         0 x  2.6800398959100734,
10 ^         0 x  2.7392776511342090,
10 ^         0 x  2.7989387616354182,
10 ^         0 x  2.8590363203967646,
10 ^         0 x  2.9195838643861609,
10 ^         0 x  2.9805953972188169,
10 ^         0 x  3.0420854132225525,
10 ^         0 x  3.1040689230128119,
10 ^         0 x  3.1665614806937691,
10 ^         0 x  3.2295792128124577,
10 ^         0 x  3.2931388492045107,
10 ^         0 x  3.3572577558829827,
10 ^         0 x  3.4219539701360022,
10 ^         0 x  3.4872462380148385,
10 ^         0 x  3.5531540544115508,
10 ^         0 x  3.6196977059449441,
10 ^         0 x  3.6868983168953422,
10 ^         0 x  3.7547778984529754,
10 ^         0 x  3.8233594015719233,
10 ^         0 x  3.8926667737519052,
10 ^         0 x  3.9627250201042279,
10 ^         0 x  4.0335602690963755,
10 ^         0 x  4.1051998434126368,
10 ^         0 x  4.1776723364164945,
10 ^         0 x  4.2510076947550137,
10 ^         0 x  4.3252373077070750,
10 ^         0 x  4.4003941039470556,
10 ^         0 x  4.4765126564746964,
10 ^         0 x  4.5536292965518476,
10 ^         0 x  4.6317822375892424,
10 ^         0 x  4.7110117100434089,
10 ^         0 x  4.7913601085176181,
10 ^         0 x  4.8728721524141722,
10 ^         0 x  4.9555950616616335,
10 ^         0 x  5.0395787492436952,
10 ^         0 x  5.1248760324909685,
10 ^         0 x  5.2115428653685726,
10 ^         0 x  5.2996385943077829,
10 ^         0 x  5.3892262404971694,
10 ^         0 x  5.4803728119774104,
10 ^         0 x  5.5731496493861249,
10 ^         0 x  5.6676328097890369,
10 ^         0 x  5.7639034937291907,
10 ^         0 x  5.8620485214483904,
10 ^         0 x  5.9621608652111948,
10 ^         0 x  6.0643402458246568,
10 ^         0 x  6.1686938028375759,
10 ^         0 x  6.2753368495726301,
10 ^         0 x  6.3843937261577501,
10 ^         0 x  6.4959987661608125,
10 ^         0 x  6.6102973953973554,
10 ^         0 x  6.7274473851063268,
10 ^         0 x  6.8476202861430872,
10 ^         0 x  6.9710030763407369,
10 ^         0 x  7.0978000600249075,
10 ^         0 x  7.2282350672063247,
10 ^         0 x  7.3625540107118706,
10 ^         0 x  7.5010278731032311,
10 ^         0 x  7.6439562125505671,
10 ^         0 x  7.7916712990649771,
10 ^         0 x  7.9445430212700420,
10 ^         0 x  8.1029847414465490,
10 ^         0 x  8.2674603260331045,
10 ^         0 x  8.4384926445020979,
10 ^         0 x  8.6166739178212486,
10 ^         0 x  8.8026784176077791,
10 ^         0 x  8.9972781818441148,
10 ^         0 x  9.2013626423636337,
10 ^         0 x  9.4159633830163736,
10 ^         0 x  9.6422857112828350,
10 ^         0 x  9.8817494018874092,
10 ^         1 x  1.0136041973513762,
10 ^         1 x  1.0407189377068337,
10 ^         1 x  1.0697651321802423,
10 ^         1 x  1.1010452189234141,
10 ^         1 x  1.1349364555787059,
10 ^         1 x  1.1719172556688653,
10 ^         1 x  1.2126060120662630,
10 ^         1 x  1.2578201412697436,
10 ^         1 x  1.3086692315841393,
10 ^         1 x  1.3667085530460553,
10 ^         1 x  1.4342058007529068,
10 ^         1 x  1.5146359941542548,
10 ^         1 x  1.6136793752828194,
10 ^         1 x  1.7414652578493206,
10 ^         1 x  1.9184205626825444,
10 ^         1 x  2.1939144481871720,
10 ^         1 x  2.7120248739471134,
10 ^         1 x  2.7862797550921439,
10 ^         1 x  1.9571045868406601,
10 ^         1 x  2.0660220445800620,
10 ^         1 x  2.0814544200656928,
10 ^         1 x  2.0871031297233465,
10 ^         1 x  2.0912436660259889,
10 ^         1 x  2.0950082112160733,
10 ^         1 x  2.0985458974495055,
10 ^         1 x  2.1018324853816809,
10 ^         1 x  2.1048245275885944,
10 ^         1 x  2.1074936362096055,
10 ^         1 x  2.1098317306216957,
10 ^         1 x  2.1118479878280159,
10 ^         1 x  2.1135636737963150,
10 ^         1 x  2.1150071182493741,
10 ^         1 x  2.1162096700823882,
10 ^         1 x  2.1172028202567616,
10 ^         1 x  2.1180163751637185,
10 ^         1 x  2.1186774500290613,
10 ^         1 x  2.1192100414749023,
10 ^         1 x  2.1196349748269560,
10 ^         1 x  2.1199700719448012,
10 ^         1 x  2.1202304325385655,
10 ^         1 x  2.1204287597373599,
10 ^         1 x  2.1205756882019286,
10 ^         1 x  2.1206800917940842,
10 ^         1 x  2.1207493598419745,
10 ^         1 x  2.1207896383490892,
10 ^         1 x  2.1208060366569099,
10 ^         1 x  2.1208028022281295,
10 ^         1 x  2.1207834671521429,
10 ^         1 x  2.1207509702005157,
10 ^         1 x  2.1207077581020222,
10 ^         1 x  2.1206558693626572,
10 ^         1 x  2.1205970035419697,
10 ^         1 x  2.1205325784778390,
10 ^         1 x  2.1204637775607852,
10 ^         1 x  2.1203915888108209,
10 ^         1 x  2.1203168372089847,
10 ^         1 x  2.1202402114806210,
10 ^         1 x  2.1201622863140802,
10 ^         1 x  2.1200835408216010,
10 ^         1 x  2.1200043739033995,
10 ^         1 x  2.1199251170564395,
10 ^         1 x  2.1198460450715562,
10 ^         1 x  2.1197673849827334,
10 ^         1 x  2.1196893235671524,
10 ^         1 x  2.1196120136414446,
10 ^         1 x  2.1195355793561668,
10 ^         1 x  2.1194601206550585,
10 ^         1 x  2.1193857170366391,
10 ^         1 x  2.1193124307319625,
10 ^         1 x  2.1192403093928744,
10 ^         1 x  2.1191693883691298,
10 ^         1 x  2.1190996926395692,
10 ^         1 x  2.1190312384517115,
10 ^         1 x  2.1189640347151671,
10 ^         1 x  2.1188980841868660,
10 ^         1 x  2.1188333844799588,
10 ^         1 x  2.1187699289231487,
10 ^         1 x  2.1187077072929686,
10 ^         1 x  2.1186467064379854,
10 ^         1 x  2.1185869108109557,
10 ^         1 x  2.1185283029224868,
10 ^         1 x  2.1184708637276884,
10 ^         1 x  2.1184145729555548,
10 ^         1 x  2.1183594093893587,
10 ^         1 x  2.1183053511051023,
10 ^         1 x  2.1182523756740283,
10 ^         1 x  2.1182004603343170,
10 ^         1 x  2.1181495821363453,
10 ^         1 x  2.1180997180652542,
10 ^         1 x  2.1180508451440323,
10 ^         1 x  2.1180029405198663,
10 ^         1 x  2.1179559815361183,
10 ^         1 x  2.1179099457919605,
10 ^         1 x  2.1178648111914092,
10 ^         1 x  2.1178205559832613,
10 ^         1 x  2.1177771587932263,
10 ^         1 x  2.1177345986493674,
10 ^         1 x  2.1176928550018148,
10 ^         1 x  2.1176519077375788,
10 ^         1 x  2.1176117371911818,
10 ^         1 x  2.1175723241517240,
