10 ^        -1 x -6.9430421460760469,
10 ^        -1 x -6.9455091061005890,
10 ^        -1 x -6.9496224792608914,
10 ^        -1 x -6.9553849335170864,
10 ^        -1 x -6.9628002095964536,
10 ^        -1 x -6.9718731266008319,
10 ^        -1 x -6.9826095892426810,
10 ^        -1 x -6.9950165967298576,
10 ^        -1 x -7.0091022533238167,
10 ^        -1 x -7.0248757806007007,
10 ^        -1 x -7.0423475314496696,
10 ^        -1 x -7.0615290058478650,
10 ^        -1 x -7.0824328684566325,
10 ^        -1 x -7.1050729680890523,
10 ^        -1 x -7.1294643591044977,
10 ^        -1 x -7.1556233247918612,
10 ^        -1 x -7.1835674028093097,
10 ^        -1 x -7.2133154127549662,
10 ^        -1 x -7.2448874859498182,
10 ^        -1 x -7.2783050975214427,
10 ^        -1 x -7.3135911008848712,
10 ^        -1 x -7.3507697647251234,
10 ^        -1 x -7.3898668125946737,
10 ^        -1 x -7.4309094652484267,
10 ^        -1 x -7.4739264858487190,
10 ^        -1 x -7.5189482281835035,
10 ^        -1 x -7.5660066880522645,
10 ^        -1 x -7.6151355579864420,
10 ^        -1 x -7.6663702854842751,
10 ^        -1 x -7.7197481349541113,
10 ^        -1 x -7.7753082535754513,
10 ^        -1 x -7.8330917413034210,
10 ^        -1 x -7.8931417252600943,
10 ^        -1 x -7.9555034387752659,
10 ^        -1 x -8.0202243053600197,
10 ^        -1 x -8.0873540279189270,
10 ^        -1 x -8.1569446835310985,
10 ^        -1 x -8.2290508241567987,
10 ^        -1 x -8.3037295836551246,
10 ^        -1 x -8.3810407915295812,
10 ^        -1 x -8.4610470938525163,
10 ^        -1 x -8.5438140818565999,
10 ^        -1 x -8.6294104287221614,
10 ^        -1 x -8.7179080351336032,
10 ^        -1 x -8.8093821842266812,
10 ^        -1 x -8.9039117066016446,
10 ^        -1 x -9.0015791561355468,
10 ^        -1 x -9.1024709973910560,
10 ^        -1 x -9.2066778054894311,
10 ^        -1 x -9.3142944793927054,
10 ^        -1 x -9.4254204696253341,
10 ^        -1 x -9.5401600215595277,
10 ^        -1 x -9.6586224354922166,
10 ^        -1 x -9.7809223448562507,
10 ^        -1 x -9.9071800140353209,
10 ^         0 x -1.0037521657392697,
10 ^         0 x -1.0172079781279894,
10 ^         0 x -1.0310993550964700,
10 ^         0 x -1.0454409184610904,
10 ^         0 x -1.0602480376656884,
10 ^         0 x -1.0755368753180024,
10 ^         0 x -1.0913244362101831,
10 ^         0 x -1.1076286201388460,
10 ^         0 x -1.1244682788737480,
10 ^         0 x -1.1418632776619042,
10 ^         0 x -1.1598345616963979,
10 ^         0 x -1.1784042280269423,
10 ^         0 x -1.1975956034431974,
10 ^         0 x -1.2174333289228371,
10 ^         0 x -1.2379434513054380,
10 ^         0 x -1.2591535229316536,
10 ^         0 x -1.2810927100762764,
10 ^         0 x -1.3037919111053517,
10 ^         0 x -1.3272838854034760,
