10 ^        -1 x  9.0042383145343985,
10 ^        -1 x  8.9717896314077323,
10 ^        -2 x  3.4593662895582927,
10 ^        -1 x  8.9717896314077323,
10 ^        -1 x  8.9387878139353845,
10 ^        -2 x  3.4966295411597530,
10 ^        -1 x  8.9387878139353845,
10 ^        -1 x  8.9052300623554154,
10 ^        -2 x  3.5334336485909414,
10 ^        -1 x  8.9052300623554154,
10 ^        -1 x  8.8711135014024626,
10 ^        -2 x  3.5697712306459420,
10 ^        -1 x  8.8711135014024626,
10 ^        -1 x  8.8364351786535579,
10 ^        -2 x  3.6056348579983267,
10 ^        -1 x  8.8364351786535579,
10 ^        -1 x  8.8011920628075934,
10 ^        -2 x  3.6410170535037061,
10 ^        -1 x  8.8011920628075934,
10 ^        -1 x  8.7653810418954582,
10 ^        -2 x  3.6759102926369796,
10 ^        -1 x  8.7653810418954582,
10 ^        -1 x  8.7289989214176644,
10 ^        -2 x  3.7103070040759041,
10 ^        -1 x  8.7289989214176644,
10 ^        -1 x  8.6920424224060701,
10 ^        -2 x  3.7441995704435929,
10 ^        -1 x  8.6920424224060701,
10 ^        -1 x  8.6545081794060667,
10 ^        -2 x  3.7775803292236225,
10 ^        -1 x  8.6545081794060667,
10 ^        -1 x  8.6163927383753440,
10 ^        -2 x  3.8104415738625857,
10 ^        -1 x  8.6163927383753440,
10 ^        -1 x  8.5776925544950611,
10 ^        -2 x  3.8427755550761874,
10 ^        -1 x  8.5776925544950611,
10 ^        -1 x  8.5384039898889450,
10 ^        -2 x  3.8745744823763428,
10 ^        -1 x  8.5384039898889450,
10 ^        -1 x  8.4985233112454955,
10 ^        -2 x  3.9058305258382166,
10 ^        -1 x  8.4985233112454955,
10 ^        -1 x  8.4580466873380994,
10 ^        -2 x  3.9365358181277483,
10 ^        -1 x  8.4580466873380994,
10 ^        -1 x  8.4169701864374434,
10 ^        -2 x  3.9666824568119442,
10 ^        -1 x  8.4169701864374434,
10 ^        -1 x  8.3752897736101494,
10 ^        -2 x  3.9962625069761097,
10 ^        -1 x  8.3752897736101494,
10 ^        -1 x  8.3330013078970467,
10 ^        -2 x  4.0252680041742361,
10 ^        -1 x  8.3330013078970467,
10 ^        -1 x  8.2901005393639211,
10 ^        -2 x  4.0536909577409762,
10 ^        -1 x  8.2901005393639211,
10 ^        -1 x  8.2465831060169394,
10 ^        -2 x  4.0815233544960471,
10 ^        -1 x  8.2465831060169394,
10 ^        -1 x  8.2024445305742302,
10 ^        -2 x  4.1087571628744989,
10 ^        -1 x  8.2024445305742302,
10 ^        -1 x  8.1576802170842906,
10 ^        -2 x  4.1353843375191084,
10 ^        -1 x  8.1576802170842906,
10 ^        -1 x  8.1122854473809749,
10 ^        -2 x  4.1613968243742012,
10 ^        -1 x  8.1122854473809749,
10 ^        -1 x  8.0662553773637823,
10 ^        -2 x  4.1867865663235026,
10 ^        -1 x  8.0662553773637823,
10 ^        -1 x  8.0195850330909842,
10 ^        -2 x  4.2115455094181669,
10 ^        -1 x  8.0195850330909842,
10 ^        -1 x  7.9722693066717836,
10 ^        -2 x  4.2356656097449682,
10 ^        -1 x  7.9722693066717836,
10 ^        -1 x  7.9243029519421583,
10 ^        -2 x  4.2591388409887523,
10 ^        -1 x  7.9243029519421583,
10 ^        -1 x  7.8756805799072686,
10 ^        -2 x  4.2819572027476683,
10 ^        -1 x  7.8756805799072686,
10 ^        -1 x  7.8263966539312612,
10 ^        -2 x  4.3041127296644257,
10 ^        -1 x  7.8263966539312612,
10 ^        -1 x  7.7764454846529364,
10 ^        -2 x  4.3255975014418586,
10 ^        -1 x  7.7764454846529364,
10 ^        -1 x  7.7258212246029819,
10 ^        -2 x  4.3464036538164183,
10 ^        -1 x  7.7258212246029819,
10 ^        -1 x  7.6745178624952604,
10 ^        -2 x  4.3665233905688427,
10 ^        -1 x  7.6745178624952604,
10 ^        -1 x  7.6225292171608533,
10 ^        -2 x  4.3859489966571284,
10 ^        -1 x  7.6225292171608533,
10 ^        -1 x  7.5698489310891047,
10 ^        -2 x  4.4046728525630070,
10 ^        -1 x  7.5698489310891047,
10 ^        -1 x  7.5164704635346311,
10 ^        -2 x  4.4226874499493082,
10 ^        -1 x  7.5164704635346311,
10 ^        -1 x  7.4623870831429711,
10 ^        -2 x  4.4399854087317475,
10 ^        -1 x  7.4623870831429711,
10 ^        -1 x  7.4075918600400226,
10 ^        -2 x  4.4565594956746101,
10 ^        -1 x  7.4075918600400226,
10 ^        -1 x  7.3520776573213552,
10 ^        -2 x  4.4724026446252289,
10 ^        -1 x  7.3520776573213552,
10 ^        -1 x  7.2958371218665122,
10 ^        -2 x  4.4875079785066675,
10 ^        -1 x  7.2958371218665122,
10 ^        -1 x  7.2388626743900494,
10 ^        -2 x  4.5018688331910382,
10 ^        -1 x  7.2388626743900494,
10 ^        -1 x  7.1811464986246500,
10 ^        -2 x  4.5154787833765700,
10 ^        -1 x  7.1811464986246500,
10 ^        -1 x  7.1226805295113859,
10 ^        -2 x  4.5283316705887123,
10 ^        -1 x  7.1226805295113859,
10 ^        -1 x  7.0634564402469351,
10 ^        -2 x  4.5404216334174900,
10 ^        -1 x  7.0634564402469351,
10 ^        -1 x  7.0034656280058276,
10 ^        -2 x  4.5517431400875294,
10 ^        -1 x  7.0034656280058276,
10 ^        -1 x  6.9426991981155244,
10 ^        -2 x  4.5622910234300181,
10 ^        -1 x  6.9426991981155244,
10 ^        -1 x  6.8811479464105038,
10 ^        -2 x  4.5720605182819402,
10 ^        -1 x  6.8811479464105038,
10 ^        -1 x  6.8188023394245483,
10 ^        -2 x  4.5810473012691414,
10 ^        -1 x  6.8188023394245483,
10 ^        -1 x  6.7556524919923709,
10 ^        -2 x  4.5892475328237302,
10 ^        -1 x  6.7556524919923709,
10 ^        -1 x  6.6916881417142043,
10 ^        -2 x  4.5966579011236486,
10 ^        -1 x  6.6916881417142043,
10 ^        -1 x  6.6268986195774437,
10 ^        -2 x  4.6032756673920238,
10 ^        -1 x  6.6268986195774437,
10 ^        -1 x  6.5612728158085093,
10 ^        -2 x  4.6090987116052367,
10 ^        -1 x  6.5612728158085093,
10 ^        -1 x  6.4947991397149922,
10 ^        -2 x  4.6141255770449883,
10 ^        -1 x  6.4947991397149922,
10 ^        -1 x  6.4274654718221362,
10 ^        -2 x  4.6183555111379301,
10 ^        -1 x  6.4274654718221362,
10 ^        -1 x  6.3592591059215217,
10 ^        -2 x  4.6217884983727553,
10 ^        -1 x  6.3592591059215217,
10 ^        -1 x  6.2901666775757555,
10 ^        -2 x  4.6244252782117486,
10 ^        -1 x  6.2901666775757555,
10 ^        -1 x  6.2201740738585239,
10 ^        -2 x  4.6262673356490450,
10 ^        -1 x  6.2201740738585239,
10 ^        -1 x  6.1492663160319546,
10 ^        -2 x  4.6273168417233366,
10 ^        -1 x  6.1492663160319546,
10 ^        -1 x  6.0774274010812855,
10 ^        -2 x  4.6275764990156548,
10 ^        -1 x  6.0774274010812855,
10 ^        -1 x  6.0046400761485399,
10 ^        -2 x  4.6270491930876418,
10 ^        -1 x  6.0046400761485399,
10 ^        -1 x  5.9308854934764485,
10 ^        -2 x  4.6257372007247482,
10 ^        -1 x  5.9308854934764485,
10 ^        -1 x  5.8561426427242452,
10 ^        -2 x  4.6236404502748369,
10 ^        -1 x  5.8561426427242452,
10 ^        -1 x  5.7803854536875787,
10 ^        -2 x  4.6207528860031831,
10 ^        -1 x  5.7803854536875787,
10 ^        -1 x  5.7035814272969226,
10 ^        -2 x  4.6170335620988370,
10 ^        -1 x  5.7035814272969226,
10 ^        -1 x  5.6257196188501451,
10 ^        -2 x  4.6126298437049847,
10 ^        -1 x  5.6257196188501451,
10 ^        -1 x  5.5468140321708552,
10 ^        -2 x  4.6075734014273186,
10 ^        -1 x  5.5468140321708552,
10 ^        -1 x  5.4668976218505734,
10 ^        -2 x  4.6018424500212579,
10 ^        -1 x  5.4668976218505734,
10 ^        -1 x  5.3860200201784324,
10 ^        -2 x  4.5953720339348198,
